"NAME","DATE","EVENT","COMMENT"
"STARLINK-1040","12/15/2019","Loss","Read documentation at https://docs.google.com/spreadsheets/d/1mTPX5JSkeaoViGT_1wigrjwjzIVkpzI3xhFpEm909oM"
"STARLINK-1029","1/9/2020","Failure",""
"STARLINK-1118","2/5/2020","Failure",""
"STARLINK-1065","2/14/2020","Loss",""
"STARLINK-1037","2/18/2020","Loss",""
"STARLINK-1220","2/21/2020","Loss",""
"STARLINK-1220","2/29/2020","Decay",""
"STARLINK-1118","3/25/2020","Loss",""
"STARLINK-1118","4/2/2020","Decay",""
"STARLINK-1311","4/9/2020","Loss",""
"STARLINK-1175","4/11/2020","Failure",""
"STARLINK-1179","4/17/2020","Failure",""
"STARLINK-1087","4/18/2020","Failure",""
"STARLINK-1268","5/5/2020","Failure",""
"STARLINK-1110","5/15/2020","Failure",""
"STARLINK-1087","5/28/2020","Decay",""
